Date;Stellantis NV;DNXcorp SA;IDI;Credit Agricole;Accor;Viel et Cie SA;Air Liquide;Publicis;Safran;Vicat;L'Oreal;Saint Gobain;Voyageurs du Monde SA;Groupe Guillin;Quadient;Roche Bobois;Virbac;Elis Services SA;Schneider Electric;Engie;Danone;Bouygues;Exacompta Clairefontaine;Groupe SEB;Bourse Direct;LDC;Sopra Steria;Legrand;Vinci;Groupe Crit;Patrimoine et Commerce;Coheris;Michelin;Acanthe Developpement;NSE SA;Wavestone;Lanson BCC SA;Groupe Pizzorno Environnement;Hermes International;Dassault Systemes;Airbus Group;Stef SA;Caisse Reg Cred Agric Mut Tourain Poitou;Technip Energies BV;Orange;Maurel et Prom;Eurazeo;Caisse Regionale de Credit Agricole Mutuel Atlanti;STMicro;Linedata Services
02.01.2023;10.73932933807373;7.496687412261963;41.81206893920898;7.963501453399658;21.77234649658203;5.336091995239258;116.34410095214844;53.26310729980469;114.91314697265624;20.646827697753903;321.5605163574219;43.12626266479492;82.39060974121094;19.171649932861328;12.374746322631836;31.709936141967773;230.46397399902344;13.041231155395508;125.92911529541016;10.351641654968262;44.95497131347656;24.232126235961918;106.2242202758789;74.14608001708984;3.132788896560669;49.02169418334961;132.81390380859375;70.66668701171875;84.36233520507812;53.20216751098633;12.502052307128906;2.9334559440612797;23.84751892089844;0.2117481827735901;15.544754028320312;41.45933532714844;30.053895950317383;33.8905143737793;1431.77587890625;33.14348220825195;107.91471099853516;82.8799819946289;50.54887390136719;14.037601470947266;7.772793292999268;3.441499710083008;52.817081451416016;63.65804290771485;32.35713577270508;42.65011596679688
03.01.2023;10.865248680114746;7.496687412261963;41.81206893920898;8.063982963562012;21.78148651123047;5.353939056396484;116.05108642578124;53.94161605834961;114.3896713256836;20.81817054748535;322.80059814453125;44.25585174560547;83.33871459960938;19.21665382385254;12.383674621582031;31.709936141967773;231.9444732666016;13.257331848144531;127.02957153320312;10.31498908996582;45.29499053955078;24.30862236022949;106.2242202758789;76.1251449584961;3.114574909210205;49.02169418334961;135.2371826171875;71.3055191040039;84.26459503173828;53.37490081787109;12.625836372375488;2.9138994216918945;24.48102760314941;0.224203959107399;16.127681732177734;41.6548957824707;30.053895950317383;32.92970275878906;1448.2999267578125;33.467308044433594;108.5592041015625;82.25346374511719;53.27886581420898;14.03297519683838;7.8836669921875;3.361464738845825;53.31196212768555;64.53334045410156;32.46849060058594;42.55760192871094
04.01.2023;11.158011436462402;7.496687412261963;42.23271179199219;8.276108741760254;22.384748458862305;5.353939056396484;119.17083740234376;55.298641204833984;115.35906982421876;21.289363861083984;339.7323608398437;46.23032760620117;83.43352508544922;19.21665382385254;13.481865882873535;31.799503326416016;232.43795776367188;13.661346435546877;132.62684631347656;10.114920616149902;45.71660614013672;24.878087997436523;111.53543090820312;79.80712890625;3.132788896560669;49.25624847412109;137.19444274902344;73.05293273925781;86.25482940673828;53.893104553222656;12.625836372375488;2.9921250343322754;25.05251884460449;0.2247970998287201;16.273412704467773;41.21488571166992;30.053895950317383;33.715824127197266;1509.536865234375;34.28179168701172;109.3553466796875;82.34296417236328;53.27886581420898;14.042226791381836;8.12031078338623;3.0792367458343506;53.85182571411133;66.39887237548828;33.286746978759766;42.465087890625
05.01.2023;11.28707790374756;7.462764739990234;42.90574264526367;8.293652534484863;22.841768264770508;5.371785640716553;118.58480834960938;54.83439636230469;115.16519927978516;21.24652862548828;337.7291564941406;47.17624282836914;83.6231460571289;18.99163627624512;13.455080032348633;31.441200256347656;229.9704742431641;13.736512184143066;132.45608520507812;10.1943359375;45.85261917114258;25.073579788208008;109.76502990722656;79.30086517333984;3.114574909210205;51.13267517089844;136.82162475585938;73.65419006347656;86.54802703857422;53.893104553222656;12.584575653076172;3.011681318283081;25.14554977416992;0.2200520038604736;16.273412704467773;40.57930374145508;30.14665412902832;33.45378112792969;1505.162841796875;34.448612213134766;109.18473815917967;82.07444763183594;54.15950775146485;14.523250579833984;8.188985824584961;3.075024366378784;53.986793518066406;68.16715240478516;33.47072982788086;42.18753433227539
06.01.2023;11.364203453063965;7.86982536315918;43.57877731323242;8.3877534866333;23.353626251220703;5.389631748199463;121.75625610351562;55.40577697753906;118.6550521850586;21.760555267333984;342.0694274902344;48.10378646850586;84.38162994384766;20.431760787963867;13.624720573425291;31.709936141967773;233.4249725341797;14.06536102294922;134.61907958984375;9.885833740234377;45.0139045715332;25.379562377929688;107.99462890625;82.66069030761719;3.114574909210205;51.601783752441406;138.68568420410156;74.6688232421875;87.49872589111328;53.20216751098633;12.749618530273438;3.011681318283081;25.624008178710938;0.22539022564888;16.273412704467773;40.82375717163086;29.682859420776367;33.191741943359375;1546.959228515625;34.42898178100586;110.45477294921876;82.6114730834961;54.15950775146485;14.9210205078125;8.184021949768066;3.0792367458343506;54.07676696777344;68.07874298095703;34.32286834716797;42.280052185058594
09.01.2023;11.453920364379885;7.496687412261963;43.747032165527344;8.394133567810059;23.56385803222656;5.353939056396484;122.8421401977539;55.0665168762207;118.40300750732422;21.674882888793945;348.9852600097656;48.66398620605469;86.75190734863281;20.25174331665039;13.76757526397705;31.6203556060791;235.89244079589844;13.99019718170166;137.3892822265625;10.052302360534668;44.55147933959961;25.821535110473636;108.87982940673828;84.77782440185547;3.1236820220947266;51.13267517089844;139.6177215576172;75.92769622802734;88.62710571289062;53.72037124633789;12.70835781097412;3.011681318283081;25.90311050415039;0.2206451445817947;17.14780616760254;42.63271331787109;29.49734115600586;33.715824127197266;1565.913818359375;34.33085632324219;111.3646469116211;84.3120346069336;54.16831207275391;14.629631042480469;8.17988395690918;3.125572681427002;55.24648666381836;68.22020721435547;36.09493255615234;42.3725700378418
10.01.2023;11.54049015045166;7.496687412261963;43.91529083251953;8.354259490966797;24.14883804321289;5.389631748199463;122.11821746826172;54.78083038330078;118.1121826171875;21.160858154296875;347.55438232421875;47.4976692199707;87.13114929199219;20.34175109863281;13.660433769226074;31.6203556060791;236.8794403076172;13.727115631103516;136.87696838378906;10.046194076538086;44.87336730957031;25.88953018188477;109.76502990722656;83.02887725830078;3.132788896560669;51.36723327636719;137.2876434326172;74.55607604980469;88.31613159179688;54.23857116699219;12.790879249572754;3.011681318283081;25.437944412231445;0.2200520038604736;17.09922981262207;42.14380645751953;29.033544540405277;33.715824127197266;1561.5396728515625;33.746978759765625;109.08995819091795;83.68551635742188;54.18592834472656;14.513999938964844;8.18484878540039;3.075024366378784;55.29147720336914;70.11226654052734;35.94484329223633;42.55760192871094
11.01.2023;11.521602630615234;7.835904121398926;44.25180435180664;8.314386367797852;24.377349853515625;5.389631748199463;124.53128814697266;54.584415435791016;119.33363342285156;20.86100578308105;350.7499694824219;47.79154586791992;91.01839447021484;20.7017822265625;13.660433769226074;31.6203556060791;238.8534393310547;13.97140407562256;139.2487030029297;10.15462875366211;45.131778717041016;25.94902992248535;110.65023040771484;81.55607604980469;3.1054680347442627;51.13267517089844;136.82162475585938;76.00286102294922;88.56491088867188;59.07513427734375;12.873401641845703;2.9921250343322754;25.557558059692383;0.22539022564888;17.19638442993164;43.02383804321289;29.682859420776367;33.715824127197266;1575.147705078125;34.316139221191406;107.95262145996094;84.5805435180664;54.42369842529297;14.439995765686035;8.097969055175781;3.0539627075195312;56.46118927001953;70.99640655517578;36.17240524291992;42.83515167236328
12.01.2023;11.634929656982422;7.86982536315918;44.08354949951172;8.390944480895996;25.12685775756836;5.389631748199463;123.635009765625;55.477195739746094;121.4081573486328;21.0323486328125;350.2253112792969;48.39766311645508;91.58724975585938;20.61177444458008;13.928285598754885;31.709936141967773;245.76243591308597;14.35662841796875;139.51434326171875;10.252371788024902;44.75095748901367;26.263511657714844;115.96144104003906;82.15440368652344;3.1054680347442627;50.663570404052734;138.21966552734375;76.43501281738281;89.77326965332031;58.55693435668945;13.120965957641602;3.011681318283081;25.956270217895508;0.22539022564888;17.19638442993164;42.77938461303711;29.49734115600586;33.628475189208984;1570.2877197265625;34.291603088378906;110.17042541503906;84.40154266357422;59.0030403137207;14.629631042480469;8.202223777770996;3.0792367458343506;56.9560661315918;70.99640655517578;36.25470733642578;43.2977294921875
13.01.2023;11.191064834594728;7.86982536315918;43.91529083251953;8.363829612731934;25.666139602661133;5.371785640716553;122.5491180419922;55.83430862426758;122.66838073730467;21.24652862548828;356.6641540527344;48.90276336669922;91.7768783569336;20.881797790527344;13.785430908203123;32.06822967529297;249.71041870117188;14.525751113891602;140.76661682128906;10.174482345581056;45.0819091796875;25.47305679321289;112.4206314086914;83.71925354003906;3.087254047393799;51.36723327636719;140.45652770996094;76.6417007446289;90.07533264160156;58.211463928222656;13.038445472717283;3.011681318283081;25.965131759643555;0.2277627438306808;17.19638442993164;43.80609130859375;29.775617599487305;33.803165435791016;1604.794189453125;34.929447174072266;110.73910522460938;84.13302612304688;59.4521713256836;14.888644218444824;8.207188606262207;3.1002986431121826;57.18101119995117;72.94151306152344;36.65657424926758;43.57527923583984
