Date;Orange;Danone;Patrimoine et Commerce;IDI;Lanson BCC SA;LDC;Linedata Services;Viel et Cie SA;Voyageurs du Monde SA;Caisse Regionale de Credit Agricole Mutuel Atlanti
2023-01-02;7.772793292999268;44.95497131347656;12.502052307128906;41.81206893920898;30.053895950317383;49.02169418334961;42.65011596679688;5.336091995239258;82.39060974121094;63.65804290771485
2023-01-03;7.8836669921875;45.29499053955078;12.625836372375488;41.81206893920898;30.053895950317383;49.02169418334961;42.55760192871094;5.353939056396484;83.33871459960938;64.53334045410156
2023-01-04;8.12031078338623;45.71660614013672;12.625836372375488;42.23271179199219;30.053895950317383;49.25624847412109;42.465087890625;5.353939056396484;83.43352508544922;66.39887237548828
2023-01-05;8.188985824584961;45.85261917114258;12.584575653076172;42.90574264526367;30.14665412902832;51.13267517089844;42.18753433227539;5.371785640716553;83.6231460571289;68.16715240478516
2023-01-06;8.184021949768066;45.0139045715332;12.749618530273438;43.57877731323242;29.682859420776367;51.601783752441406;42.280052185058594;5.389631748199463;84.38162994384766;68.07874298095703
2023-01-09;8.17988395690918;44.55147933959961;12.70835781097412;43.747032165527344;29.49734115600586;51.13267517089844;42.3725700378418;5.353939056396484;86.75190734863281;68.22020721435547
2023-01-10;8.18484878540039;44.87336730957031;12.790879249572754;43.91529083251953;29.03354454040528;51.36723327636719;42.55760192871094;5.389631748199463;87.13114929199219;70.11226654052734
2023-01-11;8.097969055175781;45.131778717041016;12.873401641845703;44.25180435180664;29.682859420776367;51.13267517089844;42.83515167236328;5.389631748199463;91.01839447021484;70.99640655517578
2023-01-12;8.202223777770996;44.75095748901367;13.120965957641602;44.08354949951172;29.49734115600586;50.663570404052734;43.2977294921875;5.389631748199463;91.58724975585938;70.99640655517578
2023-01-13;8.207188606262207;45.0819091796875;13.038445472717283;43.91529083251953;29.775617599487305;51.36723327636719;43.57527923583984;5.371785640716553;91.7768783569336;72.94151306152344
2023-01-16;8.025984764099121;45.45366287231445;13.24474811553955;43.747032165527344;30.14665412902832;51.601783752441406;43.48276519775391;5.44317102432251;91.96649932861328;73.82564544677734
2023-01-17;8.010262489318848;45.408329010009766;13.40979290008545;44.7565803527832;29.682859420776367;50.663570404052734;43.76031494140625;5.44317102432251;91.87168884277344;74.26771545410156
2023-01-18;7.962272644042969;45.31765365600586;13.24474811553955;44.588321685791016;29.868377685546875;51.13267517089844;43.945350646972656;5.514556884765625;92.15611267089844;75.15185546875
2023-01-19;7.920901298522949;45.52619934082031;13.20348834991455;44.588321685791016;30.14665412902832;50.663570404052734;43.76031494140625;5.514556884765625;91.96649932861328;74.70978546142578
2023-01-20;7.957307815551758;45.65314102172852;13.162227630615234;44.42006301879883;30.14665412902832;51.601783752441406;43.945350646972656;5.7108683586120605;92.06130981445312;74.26771545410156
2023-01-23;7.932485580444336;45.61687469482422;13.20348834991455;44.7565803527832;29.775617599487305;51.13267517089844;44.3154182434082;5.800100326538086;92.81979370117188;73.3747329711914
2023-01-24;7.967236995697021;45.471797943115234;13.327271461486816;44.08354949951172;30.14665412902832;51.36723327636719;44.40793228149414;5.693021774291992;92.06130981445312;72.94151306152344
2023-01-25;7.952343463897705;45.15444946289063;13.2860107421875;43.91529083251953;30.14665412902832;51.36723327636719;46.165748596191406;5.675175666809082;93.76789855957033;73.20675659179688
2023-01-26;7.906835079193115;44.61042022705078;13.327271461486816;43.91529083251953;29.96113586425781;51.601783752441406;45.14806365966797;5.853639602661133;94.3367691040039;73.48967742919922
2023-01-27;7.898560047149658;44.90510177612305;13.616097450256348;44.08354949951172;29.775617599487305;51.601783752441406;45.14806365966797;5.764407157897949;93.19903564453124;75.2314224243164
2023-01-30;7.956480503082275;45.42646026611328;13.574836730957031;44.42006301879883;29.49734115600586;51.13267517089844;44.870513916015625;5.853639602661133;95.0004425048828;77.36219787597656
2023-01-31;8.04418659210205;45.61687469482422;13.616097450256348;44.42006301879883;29.868377685546875;51.36723327636719;44.68548202514648;5.800100326538086;95.19007110595705;75.24026489257812
2023-02-01;8.04004955291748;45.97049331665039;13.327271461486816;44.92483901977539;29.682859420776367;50.89812088012695;44.77799987792969;5.853639602661133;95.7589340209961;74.26771545410156
2023-02-02;7.98295783996582;45.80728149414063;13.616097450256348;44.588321685791016;29.775617599487305;50.89812088012695;44.68548202514648;5.728714942932129;94.3367691040039;72.49943542480469
2023-02-03;7.935794353485107;46.00676345825195;13.40979290008545;44.588321685791016;29.682859420776367;51.36723327636719;46.165748596191406;5.817946910858154;95.19007110595705;73.38357543945312
2023-02-06;7.915110111236572;45.78915023803711;13.492315292358398;44.7565803527832;30.14665412902832;51.13267517089844;45.61064529418945;5.7108683586120605;95.7589340209961;72.58785247802734
2023-02-07;7.902698993682861;45.71660614013672;13.533575057983398;44.7565803527832;30.610450744628903;50.663570404052734;44.77799987792969;5.90717887878418;97.0862808227539;71.88054656982422
2023-02-08;7.956480503082275;45.734745025634766;13.40979290008545;44.588321685791016;30.239410400390625;50.89812088012695;45.33309555053711;5.871486186981201;96.70703887939452;73.3747329711914
2023-02-09;7.910145282745361;45.70754623413086;13.451053619384766;44.588321685791016;30.332172393798828;50.89812088012695;45.703163146972656;5.853639602661133;101.2579574584961;73.38357543945312
2023-02-10;8.016054153442383;45.48992919921875;13.451053619384766;44.25180435180664;30.332172393798828;51.36723327636719;45.33309555053711;5.728714942932129;101.06832885742188;72.49943542480469
2023-02-13;8.026811599731445;45.870750427246094;13.616097450256348;44.588321685791016;30.332172393798828;50.89812088012695;44.500450134277344;5.925025463104248;100.49947357177734;72.11041259765625
2023-02-14;8.212154388427734;45.94328689575195;13.616097450256348;44.588321685791016;30.239410400390625;50.89812088012695;44.870513916015625;5.942872047424316;100.30985260009766;72.057373046875
2023-02-15;8.251042366027832;46.96787643432617;13.616097450256348;44.588321685791016;30.332172393798828;51.601783752441406;44.77799987792969;5.925025463104248;99.93061065673828;72.10157775878906
2023-02-16;8.78390121459961;46.868141174316406;13.616097450256348;44.7565803527832;30.14665412902832;51.13267517089844;44.500450134277344;5.925025463104248;100.49947357177734;72.94151306152344
2023-02-17;8.864988327026367;47.2308235168457;13.616097450256348;44.588321685791016;29.96113586425781;51.601783752441406;43.48276519775391;5.925025463104248;100.49947357177734;72.16346740722656
2023-02-20;8.957660675048828;47.38496780395508;13.574836730957031;44.42006301879883;30.14665412902832;51.601783752441406;43.2977294921875;5.871486186981201;99.93061065673828;73.02992248535156
2023-02-21;8.926218032836914;47.43030548095703;13.616097450256348;44.588321685791016;29.868377685546875;52.070892333984375;43.2977294921875;5.800100326538086;100.49947357177734;72.057373046875
2023-02-22;9.003994941711426;49.56108474731445;13.574836730957031;44.588321685791016;30.14665412902832;52.30544662475586;43.2977294921875;5.800100326538086;100.6890869140625;70.19183349609375
2023-02-23;8.914633750915527;48.87198638916016;13.616097450256348;44.7565803527832;29.96113586425781;52.070892333984375;43.2977294921875;5.782253265380859;101.06832885742188;70.20952606201172
2023-02-24;9.003994941711426;48.75410842895508;14.02870750427246;44.7565803527832;30.14665412902832;52.30544662475586;43.02018356323242;5.817946910858154;103.3437957763672;70.05036926269531
2023-02-27;8.984137535095215;48.7359733581543;14.688880920410156;44.7565803527832;30.053895950317383;52.070892333984375;42.742637634277344;5.800100326538086;105.2400131225586;70.11226654052734
2023-02-28;8.929527282714844;48.27355194091797;14.977705955505373;44.588321685791016;30.053895950317383;52.53999710083008;42.09502029418945;5.800100326538086;108.6531982421875;71.88054656982422
2023-03-01;8.893120765686035;48.09220504760742;14.936446189880373;44.588321685791016;30.053895950317383;53.47821044921875;42.280052185058594;5.800100326538086;111.87677001953124;71.88054656982422
2023-03-02;8.894776344299316;48.65436935424805;14.936446189880373;44.588321685791016;29.5900993347168;54.18186950683594;42.465087890625;5.764407157897949;109.41168975830078;71.79212951660156
2023-03-03;8.891467094421387;48.79944610595703;14.895184516906738;44.08354949951172;29.682859420776367;54.88553237915039;41.81747055053711;5.800100326538086;109.98055267333984;72.58785247802734
2023-03-06;8.995720863342285;48.43675994873047;15.349055290222168;44.588321685791016;29.5900993347168;53.94731903076172;42.00250625610352;5.817946910858154;109.03244018554688;72.85308837890625
2023-03-07;8.927873611450195;48.971717834472656;15.26653289794922;44.588321685791016;29.5900993347168;53.71276473999024;42.09502029418945;5.871486186981201;109.41168975830078;73.4808349609375
2023-03-08;8.957660675048828;49.40694427490234;15.26653289794922;44.25180435180664;29.31182289123535;53.24365615844727;41.81747055053711;5.996411323547363;109.41168975830078;74.26771545410156
2023-03-09;8.969244003295898;49.85123062133789;15.307793617248535;44.42006301879883;29.682859420776367;53.94731903076172;41.81747055053711;6.067797183990479;109.03244018554688;73.69302368164062
2023-03-10;8.999032020568848;49.87843322753906;15.390316009521484;43.91529083251953;30.332172393798828;53.47821044921875;43.02018356323242;6.103490352630615;107.32585144042967;73.38357543945312
2023-03-13;8.894776344299316;49.26187133789063;15.184011459350586;43.24225997924805;30.332172393798828;53.94731903076172;42.3725700378418;5.960718631744385;105.42962646484376;72.49943542480469
2023-03-14;8.835201263427734;49.46134948730469;15.184011459350586;44.588321685791016;30.424928665161133;53.71276473999024;41.81747055053711;6.335494041442871;105.2400131225586;71.17323303222656
2023-03-15;8.888155937194824;49.26187133789063;15.184011459350586;44.42006301879883;31.0742416381836;52.7745475769043;41.72494888305664;6.103490352630615;103.53341674804688;67.24764251708984
2023-03-16;8.869953155517578;49.89657211303711;15.225274085998535;44.08354949951172;32.37287139892578;51.13267517089844;41.6324348449707;6.121336936950684;102.9645538330078;64.551025390625
2023-03-17;8.745841026306152;49.37973785400391;15.018967628479004;43.074005126953125;32.09458923339844;50.663570404052734;41.72494888305664;6.210568904876709;102.9645538330078;67.18576049804688
2023-03-20;8.848440170288086;49.74242782592773;15.018967628479004;43.24225997924805;32.46562576293945;52.53999710083008;41.90998458862305;6.281954765319824;103.72303771972656;66.31046295166016
2023-03-21;8.951040267944336;50.18671798706055;15.018967628479004;44.25180435180664;32.46562576293945;51.13267517089844;42.00250625610352;6.317647933959961;105.2400131225586;65.73577117919922
2023-03-22;8.956005096435547;50.966495513916016;14.936446189880373;43.747032165527344;32.46562576293945;51.601783752441406;41.5399169921875;6.281954765319824;107.51547241210938;65.8683853149414
2023-03-23;8.957660675048828;50.875823974609375;15.142751693725586;43.41051483154297;32.46562576293945;54.18186950683594;41.6324348449707;6.264108657836914;110.17017364501952;66.75252532958984
2023-03-24;8.835201263427734;51.02090072631836;14.977705955505373;44.42006301879883;32.37287139892578;53.94731903076172;41.6324348449707;6.424726486206055;107.51547241210938;67.63667297363281
2023-03-27;9.01888942718506;51.51959228515625;15.142751693725586;45.09309387207031;32.28010940551758;53.47821044921875;41.72494888305664;6.496112823486328;102.58531188964844;68.51197052001953
2023-03-28;8.980828285217285;51.46518707275391;15.018967628479004;45.42961120605469;32.651145935058594;53.94731903076172;41.354888916015625;6.603190898895264;101.82682037353516;67.28301239013672
2023-03-29;8.93614673614502;51.71907424926758;15.101489067077637;45.76612854003906;33.207698822021484;53.47821044921875;41.354888916015625;6.674577236175537;99.93061065673828;68.07874298095703
2023-03-30;8.9526948928833;51.3110466003418;15.018967628479004;47.78522109985352;33.30045700073242;52.7745475769043;41.26236724853516;6.513958930969238;102.77493286132812;68.97172546386719
