Date;Price
02.01.2023;6594.56982421875
03.01.2023;6623.89013671875
04.01.2023;6776.43017578125
05.01.2023;6761.5
06.01.2023;6860.9501953125
09.01.2023;6907.35986328125
10.01.2023;6869.14013671875
11.01.2023;6924.18994140625
12.01.2023;6975.68017578125
13.01.2023;7023.5
16.01.2023;7043.31005859375
17.01.2023;7077.16015625
18.01.2023;7083.39013671875
19.01.2023;6951.8701171875
20.01.2023;6995.990234375
23.01.2023;7032.02001953125
24.01.2023;7050.47998046875
25.01.2023;7043.8798828125
26.01.2023;7095.990234375
27.01.2023;7097.2099609375
30.01.2023;7082.009765625
31.01.2023;7082.419921875
01.02.2023;7077.10986328125
02.02.2023;7166.27001953125
03.02.2023;7233.93994140625
06.02.2023;7137.10009765625
07.02.2023;7132.35009765625
08.02.2023;7119.830078125
09.02.2023;7188.35986328125
10.02.2023;7129.72998046875
13.02.2023;7208.58984375
14.02.2023;7213.81005859375
15.02.2023;7300.85986328125
16.02.2023;7366.16015625
17.02.2023;7347.72021484375
20.02.2023;7335.60986328125
21.02.2023;7308.64990234375
22.02.2023;7299.259765625
23.02.2023;7317.43017578125
24.02.2023;7187.27001953125
27.02.2023;7295.5498046875
28.02.2023;7267.93017578125
01.03.2023;7234.25
02.03.2023;7284.22021484375
03.03.2023;7348.1201171875
06.03.2023;7373.2099609375
07.03.2023;7339.27001953125
08.03.2023;7324.759765625
09.03.2023;7315.8798828125
10.03.2023;7220.669921875
13.03.2023;7011.5
14.03.2023;7141.56982421875
15.03.2023;6885.7099609375
16.03.2023;7025.72021484375
17.03.2023;6925.39990234375
20.03.2023;7013.14013671875
21.03.2023;7112.91015625
22.03.2023;7131.1201171875
23.03.2023;7139.25
24.03.2023;7015.10009765625
27.03.2023;7078.27001953125
28.03.2023;7088.33984375
29.03.2023;7186.990234375
30.03.2023;7263.3701171875
31.03.2023;7322.39013671875
03.04.2023;7345.9599609375
04.04.2023;7344.9599609375
05.04.2023;7316.2998046875
06.04.2023;7324.75
11.04.2023;7390.27978515625
12.04.2023;7396.93994140625
13.04.2023;7480.830078125
14.04.2023;7519.60986328125
17.04.2023;7498.18017578125
18.04.2023;7533.6298828125
19.04.2023;7549.43994140625
20.04.2023;7538.7099609375
21.04.2023;7577.0
24.04.2023;7573.85986328125
25.04.2023;7531.60986328125
26.04.2023;7466.66015625
27.04.2023;7483.83984375
28.04.2023;7491.5
02.05.2023;7383.2001953125
03.05.2023;7403.830078125
04.05.2023;7340.77001953125
05.05.2023;7432.93017578125
